time,open,high,low,close,Global liquidity,Volume
1555804800,5319.9,5349.16,5213.34,5297.64,NaN,5748.4356
1555891200,5297.64,5440.84,5250.45,5387.6,NaN,12342.7761
1555977600,5387.6,5650.01,5361.01,5532.75,NaN,18208.5383
1556064000,5532.75,5624.47,5374,5441.9,NaN,15137.8098
1556150400,5440.59,5512.12,4963,5134.81,NaN,18152.6762
1556236800,5134.82,5295.03,5041.14,5159.51,NaN,14423.389
1556323200,5159.5,5221.24,5117.46,5170.6,NaN,4268.7147
1556409600,5171.9,5214.5,5101,5155,NaN,4913.41626
1556496000,5155,5189.54,5072.01,5148.25,NaN,7338.22773
1556582400,5148.25,5285,5126.25,5270.69,NaN,7270.8413
1556668800,5270.68,5358.39,5265.61,5321.15,NaN,7327.0836
1556755200,5321.15,5422.99,5306.09,5390.01,NaN,7325.941
1556841600,5390,5796.93,5363,5657.4,NaN,19740.276
1556928000,5657.41,5846.88,5512,5770.01,NaN,11071.6381
1557014400,5770.01,5782.22,5627.35,5715.86,NaN,5764.86801
1557100800,5715.86,5753.66,5564.93,5687.9,NaN,9146.027
1557187200,5687.9,5974.51,5687.9,5748.45,NaN,16065.5252
1557273600,5748.47,5990,5656.26,5948.41,NaN,12720.60439
1557360000,5947,6171.1,5934.49,6153.09,NaN,15697.7402
1557446400,6153.09,6430,6108.81,6343.14,NaN,17600.02658
1557532800,6342.99,7464.13,6342.98,7219.95,NaN,37815.4914
1557619200,7215.02,7581.82,6755,6979.76,NaN,41010.9384
1557705600,6979.24,8195,6864.93,7824.93,NaN,47237.8216
1557792000,7822.88,8350,7621.27,7990.92,NaN,39542.6804
1557878400,7990.92,8308.16,7831.77,8203.32,NaN,24942.4214
1557964800,8203.33,8388,7660.74,7878.96,NaN,29413.2514
1558051200,7878.95,7940.75,6600,7363.69,NaN,47373.71252
1558137600,7363.85,7491.22,7204.42,7262.4,NaN,11074.41484
1558224000,7262.39,8315,7252.58,8200,NaN,25170.36588
1558310400,8194.34,8199.53,7570.31,7999.54,NaN,25402.09711
1558396800,7998.94,8112.99,7805.34,7951.7,NaN,14246.44773
1558483200,7951.69,8044.32,7506.12,7626.48,NaN,17522.66963
1558569600,7622.25,7984.9,7467.1,7881.98,NaN,14905.964
1558656000,7878.16,8175,7794.73,8001.7,NaN,14767.95298
1558742400,8001.69,8149,7941.25,8063.81,NaN,5373.28011
1558828800,8063.68,8793.97,7881.7,8731.72,NaN,19430.8221
1558915200,8732.34,8947.88,8611.44,8772.29,NaN,18163.73667
1559001600,8772.29,8822.46,8545,8715.36,NaN,11990.49285
1559088000,8715.36,8760.43,8426.09,8662.44,NaN,12327.61977
1559174400,8662.44,9090,7972,8279.69,NaN,31707.61081
1559260800,8279.69,8580,8110,8554.06,NaN,16599.00513
1559347200,8554.06,8618,8452.21,8558.95,NaN,7486.04597
1559433600,8558.8,8834,8550,8736.55,NaN,5865.30128
1559520000,8736.55,8742.48,8030.46,8107.96,NaN,16677.70831
1559606400,8104.95,8104.95,7427,7670.96,NaN,30486.59496
1559692800,7671.07,7932.87,7570,7789.48,NaN,13294.23284
1559779200,7787.36,7874.68,7450,7805,NaN,12526.09363
1559865600,7805,8134.29,7756.79,7998.13,NaN,12669.70212
1559952000,7998.13,8059.99,7786.01,7930.14,NaN,5088.52648
1560038400,7930.14,7960,7508.77,7634.58,NaN,7667.4864
1560124800,7635.05,8097.35,7516.9,8015.69,NaN,9866.5327
1560211200,8015.7,8057.19,7702.83,7918.17,NaN,7810.19693
1560297600,7913.64,8292.43,7817,8176.02,NaN,12826.88591
1560384000,8176.03,8329.99,8048.75,8239.04,NaN,8631.68241
1560470400,8239.04,8738.92,8180.08,8697.46,NaN,12739.94681
1560556800,8697.45,8916.63,8588.7,8860.23,NaN,9997.19017
1560643200,8856.13,9388,8799.7,8975,NaN,22620.40483
1560729600,8975.78,9475,8975.78,9333.14,NaN,20653.50295
1560816000,9333.08,9359.48,8919.72,9078.48,NaN,16415.43057
1560902400,9078.48,9319.5,9035.75,9277.54,NaN,9225.47104
1560988800,9277.55,9599,9210.3,9531.21,NaN,12144.52282
1561075200,9531.21,10245,9531.21,10236.2,NaN,24905.13312
1561161600,10235.59,11215.89,10080,10666.86,NaN,38347.9826
1561248000,10666.87,11284.44,10490,10833.02,NaN,17386.67248
1561334400,10833,11091.97,10550.21,11032.32,NaN,15499.06962
1561420800,11030.8,11788.88,10997,11755.53,NaN,25027.56801
1561507200,11754.25,13868.44,11350,12927.44,NaN,82377.61849
1561593600,12927.44,13358.68,10300,11159.29,NaN,77276.0021
1561680000,11159.29,12444.77,10737.87,12360.45,NaN,42092.86934
1561766400,12360.42,12379.99,11318.94,11865.29,NaN,28879.3644
1561852800,11869.84,12200,10650.06,10761.26,NaN,28722.49963
1561939200,10761.26,11210.52,9953,10577.63,NaN,39825.96917
1562025600,10578.23,10925,9651,10829.18,NaN,43614.90812
1562112000,10829.19,12014.6,10829.19,11976.42,NaN,38216.69449
1562198400,11976.01,12064.26,11035.01,11136,NaN,22601.3893
1562284800,11137.87,11449.51,10761.8,11004.51,NaN,20737.39395
1562371200,10994.99,11723.6,10980.09,11237.77,NaN,15612.79262
